price,total_volume,buy_volume,sell_volume,buy_value,sell_value,delta,imbalance_ratio,buy_pressure
90978.80000000,0.05300000,0.05000000,0.00300000,4548.94500000,272.93670000,0.04700000,0.88679244,0.94339621
90978.90000000,1.11700000,1.01700000,0.10000000,92525.64300000,9097.90000000,0.91700000,0.82094897,0.91047448
90979.10000000,0.77300000,0.48500000,0.28800000,44124.88760000,26202.00750000,0.19700000,0.25485123,0.62742561
90979.20000000,5.04600000,3.77600000,1.27000000,343537.83680000,115543.71100000,2.50600000,0.49663099,0.74831550
90979.30000000,1.27800000,1.26500000,0.01300000,115088.94100000,1182.73220000,1.25200000,0.97965571,0.98982786
90979.40000000,0.05100000,0.01600000,0.03500000,1455.67200000,3184.28250000,-0.01900000,-0.37254901,0.31372548
90979.60000000,4.18000000,0.38900000,3.79100000,35391.10190000,344903.80400000,-3.40200000,-0.81387560,0.09306220
90979.70000000,0.58500000,0.44700000,0.13800000,40667.97060000,12555.21240000,0.30900000,0.52820513,0.76410256
90979.80000000,0.09300000,0.06500000,0.02800000,5913.69350000,2547.43720000,0.03700000,0.39784946,0.69892472
90979.90000000,2.50700000,0.17700000,2.33000000,16103.46000000,211983.40000000,-2.15300000,-0.85879537,0.07060231
90980.10000000,0.67600000,0.57800000,0.09800000,52586.51030000,8916.05760000,0.48000000,0.71005917,0.85502958
90980.20000000,1.16100000,1.15200000,0.00900000,104809.30560000,818.82270000,1.14300000,0.98449612,0.99224806
90980.30000000,0.46400000,0.45500000,0.00900000,41396.08200000,818.82360000,0.44600000,0.96120689,0.98060345
90980.40000000,0.10800000,0.09300000,0.01500000,8461.18650000,1364.70750000,0.07800000,0.72222222,0.86111110
90980.60000000,13.16500000,2.32900000,10.83600000,211894.04770000,985865.78420000,-8.50700000,-0.64618306,0.17690847
90980.70000000,0.11900000,0.01900000,0.10000000,1728.63520000,9098.08000000,-0.08100000,-0.68067226,0.15966386
90980.80000000,0.04400000,0.00600000,0.03800000,545.88540000,3457.27420000,-0.03200000,-0.72727271,0.13636363
90980.90000000,0.36700000,0.12300000,0.24400000,11190.66300000,22199.36400000,-0.12100000,-0.32970027,0.33514986
90981.10000000,0.04200000,0.01700000,0.02500000,1546.67950000,2274.52940000,-0.00800000,-0.19047619,0.40476190
90981.20000000,0.01900000,0.00800000,0.01100000,727.85040000,1000.79430000,-0.00300000,-0.15789473,0.42105261
90981.30000000,0.41300000,0.12100000,0.29200000,11008.74940000,26566.56880000,-0.17100000,-0.41404358,0.29297821
90981.40000000,0.05700000,0.04900000,0.00800000,4458.09350000,727.85200000,0.04100000,0.71929823,0.85964911
90981.60000000,2.61700000,1.65900000,0.95800000,150938.56150000,87160.46530000,0.70100000,0.26786397,0.63393198
90981.70000000,1.94800000,0.33800000,1.61000000,30751.84840000,146480.69800000,-1.27200000,-0.65297741,0.17351129
90981.80000000,2.72000000,0.70400000,2.01600000,64051.25760000,183419.51040000,-1.31200000,-0.48235294,0.25882353
90981.90000000,0.71300000,0.14000000,0.57300000,12737.48000000,52132.68600000,-0.43300000,-0.60729313,0.19635344
90982.10000000,12.69600000,0.91200000,11.78400000,82975.70310000,1072134.24000000,-10.87200000,-0.85633270,0.07183365
90982.20000000,0.54600000,0.48000000,0.06600000,43671.50400000,6004.83180000,0.41400000,0.75824176,0.87912088
90982.30000000,0.65800000,0.17300000,0.48500000,15739.95520000,44126.46400000,-0.31200000,-0.47416413,0.26291793
90982.40000000,1.90300000,1.86900000,0.03400000,170046.29250000,3093.40500000,1.83500000,0.96426695,0.98213347
90982.60000000,2.19700000,0.20300000,1.99400000,18469.48140000,181419.30900000,-1.79100000,-0.81520255,0.09239873
90982.70000000,0.04300000,0.03800000,0.00500000,3457.34640000,454.91400000,0.03300000,0.76744184,0.88372091
90982.80000000,0.15200000,0.14200000,0.01000000,12919.57180000,909.82900000,0.13200000,0.86842105,0.93421052
90982.90000000,0.20200000,0.05500000,0.14700000,5004.06500000,13374.50100000,-0.09200000,-0.45544554,0.27227723
90983.10000000,2.13900000,0.11200000,2.02700000,10190.11750000,184422.94410000,-1.91500000,-0.89527817,0.05236092
90983.20000000,0.30100000,0.28800000,0.01300000,26203.19040000,1182.78290000,0.27500000,0.91362126,0.95681063
90983.30000000,0.03600000,0.01600000,0.02000000,1455.73440000,1819.66800000,-0.00400000,-0.11111111,0.44444443
90983.40000000,0.30400000,0.29100000,0.01300000,26476.19850000,1182.78550000,0.27800000,0.91447368,0.95723684
90983.60000000,1.33100000,1.13900000,0.19200000,103630.43400000,17468.85300000,0.94700000,0.71149512,0.85574756
90983.70000000,3.21500000,0.01900000,3.19600000,1728.69220000,290784.22480000,-3.17700000,-0.98818040,0.00590980
90983.80000000,0.13200000,0.12400000,0.00800000,11282.00360000,727.87120000,0.11600000,0.87878787,0.93939393
90983.90000000,0.07400000,0.05000000,0.02400000,4549.20000000,2183.61600000,0.02600000,0.35135135,0.67567567
90984.10000000,1.93000000,1.83400000,0.09600000,166865.01620000,8734.47650000,1.73800000,0.90051813,0.95025907
90984.20000000,1.31200000,1.26600000,0.04600000,115186.12380000,4185.27780000,1.22000000,0.92987805,0.96493902
90984.30000000,0.15500000,0.01800000,0.13700000,1637.71920000,12464.86280000,-0.11900000,-0.76774193,0.11612903
90984.40000000,0.01300000,0.01300000,0.00000000,1182.79850000,0.00000000,0.01300000,0.99999992,0.99999992
90984.60000000,0.48900000,0.40100000,0.08800000,36484.82730000,8006.64650000,0.31300000,0.64008180,0.82004090
90984.70000000,0.02400000,0.01900000,0.00500000,1728.71120000,454.92400000,0.01400000,0.58333331,0.79166663
90984.80000000,0.14100000,0.06100000,0.08000000,5550.07890000,7278.79200000,-0.01900000,-0.13475177,0.43262411
90984.90000000,0.13900000,0.07600000,0.06300000,6914.86000000,5732.05500000,0.01300000,0.09352518,0.54676259
